"ligand","ligand_cell","receptor","associated_genes","receptor_cell","pathway","score"
"Igf1","FAP_WT","Igf1r","Prkag1,Skp2,Cdk2,Prmt1,Ccnb1,Ccnb2,Ccnd1,Plk1,Plk4","FAP_WT","mmu04068","0.710527178501184"
"Igf1","FAP_WT","Igf1r","Adcy3,Aurka,Pkmyt1,Cdk1,Cdk2,Ppp1ca,Plk1,Fbxo5,Anapc7,Cdc20,Mad2l1,Mad2l2,Ccne1,Ppp2r1a,Ppp2r1b,Ccnb2,Ccnb1","FAP_WT","mmu04114","0.72105000180602"
"Igf1","FAP_WT","Igf1r","Tgfb3,Eps15,Adrb2,Hspa1l,Hspa1a,Hspa2,Hspa1b,Vps26a,Chmp1b,Rab5b,Rab22a,Cyth1","FAP_WT","mmu04144","0.648269887991765"
"Igf1","FAP_WT","Igf1r","Snx5,Rab31,Arap1","FAP_WT","mmu04144","0.620173671647539"
"Igf1","FAP_WT","Igf1r","Slc7a5,Slc3a2,Lamtor1,Rptor,Akt1s1,Mlst8,Eif4ebp1,Sesn2,Strada,Stk11,Dvl2,Tnf,Map2k2,Pik3cd,Akt1","FAP_WT","mmu04150","0.643821935152882"
"Igf1","EC_WT","Igf1r","Telo2,Sec13,Map2k1","EC_WT","mmu04150","0.623309762829083"
"Igf1","EC_WT","Igf1r","Ulk1,Ulk3,Stradb,Fzd7,Ikbkb,Igf1,Pik3r2,Lpin1","EC_WT","mmu04150","0.631277657315125"
"Igf1","FAP_WT","Igf1r","Igf1,Comp,Lpar6,Tsc1,Cdkn1b,Foxo3,Creb3l2","FAP_WT","mmu04151","0.719947958590036"
"Igf1","EC_WT","Igf1r","Pdgfa,Pdgfrb,Itga7","EC_WT","mmu04151","0.739214848997772"
"Igf1","FAP_WT","Igf1r","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.676781509384244"
"Igf1","FAP_WT","Igf1r","Stk11,Strada,Camkk2,Pfkl,G6pc3,Lipe,Srebf1,Fasn,Irs2,Akt1,Rptor,Akt1s1,Eif4ebp1","FAP_WT","mmu04152","0.686963481380701"
"Igf1","FAP_WT","Igf1r","Prkag1,Ccnd1,Ccna2,Hmgcr,Ppp2r1a,Ppp2r1b,Tbc1d1","FAP_WT","mmu04152","0.717575315508042"
"Igf1","FAP_WT","Igf1r","Irs2,Akt1,Prkaca,Atf6b,Ehmt2,Rptor,Akt1s1,Eif4ebp1,Camkk2,Bax,Trp53,Stk11,Sesn2","FAP_WT","mmu04211","0.633238317967914"
"Igf1","EC_WT","Igf1r","Igf1,Nras,Adcy7","EC_WT","mmu04213","0.669890542979888"
"Igf1","FAP_WT","Igf1r","Igf1,Nras,Adcy7","FAP_WT","mmu04213","0.647829313638813"
"Igf1","FAP_WT","Igf1r","Pik3cd,Akt1,Adcy3,Prkaca,Prkab1,Rptor,Akt1s1,Eif4ebp2,Clpb","FAP_WT","mmu04213","0.623208996073487"
"Igf1","FAP_WT","Igf1r","Hspa1l,Hspa1a,Hspa2,Hspa1b","FAP_WT","mmu04213","0.668214844799215"
"Igf1","EC_WT","Igf1r","Comp,Igf1,Jun","EC_WT","mmu04510","0.602664126636762"
"Igf1","FAP_WT","Igf1r","Comp,Igf1,Jun","FAP_WT","mmu04510","0.808058021453614"
"Igf1","FAP_WT","Igf1r","Spp1,Itgav,Itgb5","EC_WT","mmu04510","0.604226868257662"
"Igf1","EC_WT","Igf1r","Vtn,Itga7,Pdgfa,Pdgfrb,Shc1","EC_WT","mmu04510","0.636409353051312"
"Igf1","FAP_WT","Igf1r","Capn2,Rapgef1,Cav1,Ccnd1","FAP_WT","mmu04510","0.651630160721659"
"Igf1","FAP_WT","Igf1r","Wasl,Mllt4,Csnk2a1,Fgfr1,Fyn,Tgfbr1,Tgfbr2,Nlk","FAP_WT","mmu04520","0.664205587771966"
"Igf1","EC_WT","Igf1r","Csnk2a2,Csnk2b,Tcf7l2,Smad3","EC_WT","mmu04520","0.607414590991874"
"Igf1","FAP_WT","Igf1r","Map2k2,Mapk3,Akt1,Tcf3","FAP_WT","mmu04550","0.690029458937324"
"Igf1","FAP_WT","Igf1r","Adcy3,Prkaca,Scarb1","FAP_WT","mmu04913","0.705649411787289"
"Igf1","FAP_WT","Igf1r","Pik3cd,Adcy3,Pkmyt1,Akt1,Mad1l1,Mad2l2,Fzr1,Anapc7","FAP_WT","mmu04914","0.711858739631446"
"Igf1","EC_WT","Igf1r","Casp9,Tcf7l2,Adcy7,Gng2,Ikbkb,Igf1,Smad3,Arnt","EC_WT","mmu05200","0.625107033716083"
"Igf1","FAP_WT","Igf1r","Birc5,Stat1,Cdk4,Tpm3,E2f1,Cks1b,Cks2,Skp2,Ccne1,Hdac1,Mlh1,Msh2,Msh6,Rad51,Casp8,Fh1","FAP_WT","mmu05200","0.738189934556863"
"Igf1","FAP_WT","Igf1r","Cxcr4,Adcy3,Pik3cd,Stat5a,Runx1,Cebpa,Csf2ra,Bid","EC_WT","mmu05200","0.676376919768808"
"Igf1","FAP_WT","Igf1r","Pgf,Stk4,Bmp2","EC_WT","mmu05200","0.618961627917841"
"Igf1","FAP_WT","Igf1r","Hdac1,Pbx3,Supt3,Cdkn2c","FAP_WT","mmu05202","0.672272627307719"
"Igf1","FAP_WT","Igf1r","Cebpa,Il1r2,Zbtb17,Cebpb","EC_WT","mmu05202","0.658067993950082"
"Igf1","FAP_WT","Igf1r","Jup,Pbx1,Lmo2,Klf3,Cdkn1b,Ldb1,Elk4,Tgfbr2,Foxo1","FAP_WT","mmu05202","0.660609743367052"
"Igf1","FAP_WT","Igf1r","Bcl6,H3f3b,Igf1,Id2,Nupr1,Dusp6","FAP_WT","mmu05202","0.763478407323804"
"Igf1","FAP_WT","Igf1r","Rras2,Ccnd1,Cav1","FAP_WT","mmu05205","0.831893153806007"
"Igf1","FAP_WT","Igf1r","Map2k2,Akt2,Ppp1ca,Nudt16l1","FAP_WT","mmu05205","0.616788701317043"
"Igf1","FAP_WT","Igf1r","Calm3,Map2k2,Pik3cd,Akt1,Trp53,Cdk4,E2f1","FAP_WT","mmu05214","0.701260349069747"
"Igf1","FAP_WT","Igf1r","Cdkn1b,Fgfr1,Pik3ca,Pik3r1,Pten,Pdpk1,Akt3,Gsk3b,Creb1,Creb3l2,Ctnnb1,Ep300,Sos1,Sos2,Kras,Araf,Braf","FAP_WT","mmu05215","0.622214716696668"
"Igf1","FAP_WT","Igf1r","Ccne1,E2f1,Akt1,Akt2,Bad,Map2k2,Gstp1","FAP_WT","mmu05215","0.718277871502435"
"Igf1","FAP_WT","Igf1r","Fgfr1,Kras,Araf,Braf,Pik3r1,Akt3,Pten","FAP_WT","mmu05218","0.69312420085015"
"Igf1","FAP_WT","Igf1r","Map2k2,Cdk4,Pik3cd,Akt1,Bad,Trp53,E2f1","FAP_WT","mmu05218","0.712492962597101"
"Igf1","FAP_WT","Igf1r","Ncoa1,Fgfr1,Heyl","FAP_WT","mmu05224","0.648524757140619"
"Igf1","FAP_WT","Igf1r","Ncoa3,Jun,Igf1,Araf,Hes1,Hey1,Fzd7,Dvl1,Tcf7l2","FAP_WT","mmu05224","0.674430250775545"
"Igf1","FAP_WT","Igf1r","Myc,Map2k2,Pik3cd,Akt1,Nfkb2,Trp53,Cdk4,E2f1","FAP_WT","mmu05224","0.685139763120205"
"Igf1","FAP_WT","Igfbp3","Chek2,Cdk4,Ccne1,Cdk2,Ccnb1,Ccnb2,Cdk1,Gtse1,Casp8,Rrm2","FAP_WT","mmu04115","0.64828495246547"
"Igf1","EC_WT","Igfbp3","Atr,Gorab,Mdm2,Fas,Pten,Ccng1","FAP_WT","mmu04115","0.623907299498532"
"Igf1","FAP_WT","Igfbp3","Mdm4,Gadd45a,Ei24,Siah1a,Igfbp3,Igf1,Ddb2,Sesn1,Rchy1,Ccng2,Ppm1d","FAP_WT","mmu04115","0.685648454007869"
"Igf1","FAP_WT","Igfbp3","Hdac1,Pbx3,Supt3,Cdkn2c","FAP_WT","mmu05202","0.672272627307719"
"Igf1","FAP_WT","Igfbp3","Cebpa,Il1r2,Zbtb17,Cebpb","EC_WT","mmu05202","0.658067993950082"
"Igf1","FAP_WT","Igfbp3","Jup,Pbx1,Lmo2,Klf3,Cdkn1b,Ldb1,Elk4,Tgfbr2,Foxo1","FAP_WT","mmu05202","0.660609743367052"
"Igf1","FAP_WT","Igfbp3","Bcl6,H3f3b,Igf1,Id2,Nupr1,Dusp6","FAP_WT","mmu05202","0.763478407323804"
"Csf1","EC_WT","Csf1r","Plcb3,Csf1,Sipa1l3,Actb","EC_WT","mmu04015","0.629136444962819"
"Csf1","FAP_WT","Csf1r","Plcb3,Csf1,Sipa1l3,Actb","FAP_WT","mmu04015","0.770361201320762"
"Csf1","FAP_WT","Csf1r","Cxcl1,Csf1,Il1rap","FAP_WT","mmu04060","0.896728556128976"
"Csf1","FAP_WT","Csf1r","Ccl11,Vegfa,Bmp2,Il1r2","EC_WT","mmu04060","0.748927243153219"
"Csf1","FAP_WT","Csf1r","Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1","FAP_WT","mmu04060","0.600881247548681"
"Csf1","FAP_WT","Csf1r","Tgfb3,Eps15,Adrb2,Hspa1l,Hspa1a,Hspa2,Hspa1b,Vps26a,Chmp1b,Rab5b,Rab22a,Cyth1","FAP_WT","mmu04144","0.640429660901012"
"Csf1","FAP_WT","Csf1r","Igf1,Comp,Lpar6,Tsc1,Cdkn1b,Foxo3,Creb3l2","FAP_WT","mmu04151","0.648417722753479"
"Csf1","FAP_WT","Csf1r","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.737405729245415"
"Csf1","FAP_WT","Csf1r","Il4ra,Jak1,Itga5,Ppp2r1a,Ppp2r1b,Ppp2r5c,Myc,Cdk2,Cdk4,Ccne1,Trp53","FAP_WT","mmu04151","0.680128458874873"
"Csf1","EC_WT","Csf1r","Gng10,Gngt2,Akt2,Them4","EC_WT","mmu04151","0.62818253451341"
"Csf1","FAP_WT","Csf1r","Pik3cd,Il1b,Tnf,Fosb,Fcgr3,Sirpa,Tyrobp,Syk","EC_WT","mmu04380","0.668239362484663"
"Csf1","FAP_WT","Csf1r","Il1b,Tnf,Cd44,Tfrc,Csf2ra,Il3ra,Il4ra,Cd14","EC_WT","mmu04640","0.650447743549618"
"Csf1","FAP_WT","Csf1r","Csf1,Cd1d1,Itga5","FAP_WT","mmu04640","0.720001359964415"
