"receptor" "pathway_id" "genes_in_cluster"
"Osmr" "mmu04630" "Stat6,Socs7,Bcl2l1,Ccnd1,Ccnd2,Mtor"
"Osmr" "mmu04630" "Cish,Socs1,Ccnd3,Cdkn1a,Pias4"
"Ccr1" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Ccr1" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Ccr1" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Ccr1" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Ccr1" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Ccr1" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Ccr1" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Ccr1" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Ccr1" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Ccr1" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Ccr1" "mmu04062" "Cxcl1,Cxcl2,Ccl2,Ccl7,Nras,Nfkbia,Adrbk1"
"Ccr1" "mmu04062" "Cxcl10,Cxcl12,Jak2,Stat3,Gnai2,Raf1,Map2k1,Nfkb1,Gnb1"
"Ccr1" "mmu04062" "Cxcl16,Ccl3,Ccl4,Ccl5,Ccl9,Ccl8,Cxcr4,Adcy3,Pik3cd,Nfkbib,Prkcd,Arrb2"
"Ccr1" "mmu04062" "Cxcl14,Adcy7,Gng2"
"Ccr1" "mmu04062" "Ccl11,Gnai3,Prkacb,Sos1,Sos2,Kras,Braf,Mapk1,Pik3r1,Pik3ca,Akt3,Chuk,Gsk3b,Rac1,Wasl,Rock1,Rock2,Gng12,Ptk2,Crk,Crkl,Rap1a,Rap1b"
"Ccr1" "mmu04062" "Stat1,Stat2,Prkaca,Lyn,Vav2,Prex1,Plcb3"
"Ccr1" "mmu04062" "Stat5b,Adcy9,Arrb1"
"Ccr1" "mmu04062" "Adcy4,Shc1,Grb2,Foxo3"
"Ccr1" "mmu04062" "Mapk3,Akt1,Rela,Gsk3a,Gnb2,Pxn,Grk6"
"Ccr1" "mmu04062" "Pik3r2,Gnb5,Gng5,Gng10"
"Ccr1" "mmu04062" "Ikbkb,Ikbkg,Rhoa,Grk5"
"Ccr1" "mmu04062" "Vav3,Gnb4,Gng11"
"Ccr3" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Ccr3" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Ccr3" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Ccr3" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Ccr3" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
