"receptor" "pathway_id" "genes_in_cluster"
"Osmr" "mmu04060" "Flt3l,Il11ra1"
"Osmr" "mmu04060" "Tnfsf9,Il3ra,Crlf2"
"Osmr" "mmu04060" "Tgfb2,Bmpr1a"
"Osmr" "mmu04060" "Tgfb3,Egfr"
"Osmr" "mmu04060" "Il6ra,Il1r2"
"Osmr" "mmu04060" "Ghr,Acvr1"
"Osmr" "mmu04060" "Eda2r,Tgfbr1"
"Osmr" "mmu04151" "Fgf1,Ghr,Lama2,Vtn"
"Osmr" "mmu04151" "Igf1,Ppp2r3d"
"Osmr" "mmu04151" "Pdgfd,Vegfc,Insr,Sos1,Lama4,Lamb1,Lamc1,Itga1,Ptk2,F2r,Pdpk1,Akt3,Pten,Ppp2r3a,Phlpp2,Gsk3b,Rbl2,Creb1,Atf2,Creb3l2,Pik3r1"
"Osmr" "mmu04151" "Kitl,Map2k1,Il6,Jak2,Sgk1,Atf4,Nfkb1"
"Osmr" "mmu04151" "Vegfa,Bcl2l11"
"Osmr" "mmu04151" "Egfr,Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Thbs2,Thbs3,Fn1,Lpar1"
"Osmr" "mmu04151" "Fgfr1,Cdkn1b"
"Osmr" "mmu04151" "Igf1r,Tsc1,Foxo3"
"Osmr" "mmu04151" "Tek,Sos2,Jak1,Itga6,Pkn2"
"Osmr" "mmu04151" "Kras,Mapk1,Rac1,Itgb1,Gng12,Prkaa1,Ppp2ca,Ppp2cb,Ppp2r5e,Hsp90aa1,Hsp90ab1,Ywhaz,Ywhaq"
"Osmr" "mmu04151" "Raf1,Gnb1"
"Osmr" "mmu04151" "Map2k2,Il3ra,Eif4ebp1,Pck2,G6pc3,Bad,Atf6b,Pik3cd"
"Osmr" "mmu04151" "Mapk3,Lamb2,Rps6kb2"
"Osmr" "mmu04151" "Tlr4,Rps6kb1,Hsp90b1,Chuk"
"Osmr" "mmu04151" "Syk,Il6ra"
"Osmr" "mmu04151" "Il2rg,Eif4e2"
"Osmr" "mmu04151" "Il4ra,Itga5,Ddit4"
"Osmr" "mmu04151" "Ifnar1,Ppp2r5c"
"Osmr" "mmu04151" "Jak3,Stk11,Pkn1,Rxra,Rela"
"Osmr" "mmu04151" "Col4a1,Col4a2"
"Osmr" "mmu04151" "Chad,Comp"
"Osmr" "mmu04151" "Spp1,Gng2"
"Osmr" "mmu04151" "Itgb5,Akt2"
"Osmr" "mmu04151" "Lpar6,Pik3r3"
"Osmr" "mmu04151" "Gnb2,Crtc2,Cdkn1a,Ccnd3,Nr4a1"
"Osmr" "mmu04151" "Gnb5,Pik3r2"
"Osmr" "mmu04151" "Gng10,Rps6"
"Osmr" "mmu04151" "Gng11,Pik3ca"
"Osmr" "mmu04151" "Rheb,Mcl1,Mdm2"
"Osmr" "mmu04151" "Mlst8,Trp53"
"Osmr" "mmu04151" "Mtor,Ppp2r5a,Phlpp1"
"Osmr" "mmu04151" "Rptor,Akt1,Ppp2r1a,Ppp2r5d"
"Osmr" "mmu04151" "Eif4e,Ppp2r1b"
"Osmr" "mmu04151" "Eif4b,Ikbkg"
"Osmr" "mmu04151" "Ppp2r2d,Ppp2r2a"
"Osmr" "mmu04151" "Ppp2r5b,Ccnd2"
"Osmr" "mmu04151" "Gys1,Ccne1"
"Osmr" "mmu04151" "Ccnd1,Ywhab"
"Osmr" "mmu04151" "Cdk2,Cdk4"
"Osmr" "mmu04630" "Il6,Jak2,Socs5,Mcl1"
"Osmr" "mmu04630" "Il3ra,Crlf2,Socs1"
"Osmr" "mmu04630" "Il4ra,Pim1"
"Osmr" "mmu04630" "Il10rb,Il11ra1"
"Osmr" "mmu04630" "Il13ra1,Stam2"
"Osmr" "mmu04630" "Il6st,Jak1"
"Osmr" "mmu04630" "Ifngr1,Stam,Sos2,Pik3r1"
"Osmr" "mmu04630" "Osmr,Stat3"
"Osmr" "mmu04630" "Lifr,Ghr,Fhl1"
"Osmr" "mmu04630" "Jak3,Stat1,Stat2,Irf9"
"Osmr" "mmu04630" "Stat5a,Pik3cd"
"Osmr" "mmu04630" "Stat5b,Aox1"
"Osmr" "mmu04630" "Stat6,Socs3"
"Osmr" "mmu04630" "Cish,Ccnd3,Cdkn1a,Pias4"
"Osmr" "mmu04630" "Socs4,Ccnd2,Ep300,Pias2,Ptpn11,Sos1,Pik3r3,Akt3"
"Osmr" "mmu04630" "Pik3r2,Akt2"
"Osmr" "mmu04630" "Akt1,Mtor"
"Ccr1" "mmu04060" "Cxcl1,Cxcl10,Il6,Tnfrsf10b"
"Ccr1" "mmu04060" "Cxcl2,Ccl2,Ccl4,Ccl3,Ccl7,Ccl8,Ccl9,Il1b,Il17ra"
"Ccr1" "mmu04060" "Cxcl12,Osmr,Acvr1b,Il1r1"
"Ccr1" "mmu04060" "Cxcl16,Ccl5,Cxcr4,Csf2ra"
"Ccr1" "mmu04060" "Cxcl14,Vegfb"
"Ccr1" "mmu04060" "Cx3cl1,Pdgfrb"
"Ccr1" "mmu04060" "Ccl27a,Tnfsf13"
"Ccr1" "mmu04060" "Clcf1,Tnfrsf1a"
"Ccr1" "mmu04060" "Pdgfd,Vegfc,Ifngr1,Tgfbr2,Bmpr2"
"Ccr1" "mmu04060" "Kitl,Acvr2a"
"Ccr1" "mmu04060" "Flt3l,Il11ra1"
"Ccr1" "mmu04060" "Tnfsf9,Il3ra,Crlf2"
"Ccr1" "mmu04060" "Tgfb2,Bmpr1a"
"Ccr1" "mmu04060" "Tgfb3,Egfr"
"Ccr1" "mmu04060" "Il6ra,Il1r2"
"Ccr1" "mmu04060" "Ghr,Acvr1"
"Ccr1" "mmu04060" "Eda2r,Tgfbr1"
"Ccr1" "mmu04062" "Cxcl1,Nfkbia"
"Ccr1" "mmu04062" "Cxcl2,Ccl2,Ccl9,Ccl7,Ccl8,Pik3cd,Nfkbib,Adrbk1"
"Ccr1" "mmu04062" "Cxcl9,Jak3,Stat1"
"Ccr1" "mmu04062" "Cxcl12,Stat3"
"Ccr1" "mmu04062" "Cxcl16,Ccl3,Ccl4,Ccl5,Cxcr4"
"Ccr1" "mmu04062" "Ccl27a,Arrb2"
"Ccr1" "mmu04062" "Jak2,Map2k1,Chuk,Nfkb1,Vav3,Rock1,Rock2,Rap1a"
"Ccr1" "mmu04062" "Stat2,Plcb3"
"Ccr1" "mmu04062" "Stat5b,Adcy9,Arrb1"
"Ccr1" "mmu04062" "Gnai3,Prkacb,Sos1,Kras,Braf,Mapk1,Pik3r3,Rac1,Gnb1,Gng12,Ptk2,Crk,Crkl"
"Ccr1" "mmu04062" "Gnai2,Akt1,Grk6"
"Ccr1" "mmu04062" "Adcy3,Akt2"
"Ccr1" "mmu04062" "Adcy4,Foxo3"
"Ccr1" "mmu04062" "Adcy6,Sos2,Pik3r1,Akt3,Gsk3b,Plcb4"
"Ccr1" "mmu04062" "Shc1,Raf1"
"Ccr1" "mmu04062" "Mapk3,Rela,Gnb2,Pxn,Bcar1"
"Ccr1" "mmu04062" "Pik3r2,Gnb5"
"Ccr1" "mmu04062" "Pik3ca,Gng11"
"Ccr1" "mmu04062" "Ikbkg,Rhoa,Rap1b"
"Ccr1" "mmu04062" "Wasl,Gnb4"
"Ccr3" "mmu04060" "Cxcl1,Cxcl10,Il6,Tnfrsf10b"
"Ccr3" "mmu04060" "Cxcl2,Ccl2,Ccl4,Ccl3,Ccl7,Ccl8,Ccl9,Il1b,Il17ra"
"Ccr3" "mmu04060" "Cxcl12,Osmr,Acvr1b,Il1r1"
"Ccr3" "mmu04060" "Cxcl16,Ccl5,Cxcr4,Csf2ra"
"Ccr3" "mmu04060" "Cxcl14,Vegfb"
"Ccr3" "mmu04060" "Cx3cl1,Pdgfrb"
"Ccr3" "mmu04060" "Ccl27a,Tnfsf13"
"Ccr3" "mmu04060" "Clcf1,Tnfrsf1a"
"Ccr3" "mmu04060" "Pdgfd,Vegfc,Ifngr1,Tgfbr2,Bmpr2"
"Ccr3" "mmu04060" "Kitl,Acvr2a"
"Ccr3" "mmu04060" "Flt3l,Il11ra1"
"Ccr3" "mmu04060" "Tnfsf9,Il3ra,Crlf2"
"Ccr3" "mmu04060" "Tgfb2,Bmpr1a"
"Ccr3" "mmu04060" "Tgfb3,Egfr"
"Ccr3" "mmu04060" "Il6ra,Il1r2"
"Ccr3" "mmu04060" "Ghr,Acvr1"
"Ccr3" "mmu04060" "Eda2r,Tgfbr1"
"Ccr3" "mmu04062" "Cxcl1,Nfkbia"
"Ccr3" "mmu04062" "Cxcl2,Ccl2,Ccl9,Ccl7,Ccl8,Pik3cd,Nfkbib,Adrbk1"
"Ccr3" "mmu04062" "Cxcl9,Jak3,Stat1"
"Ccr3" "mmu04062" "Cxcl12,Stat3"
"Ccr3" "mmu04062" "Cxcl16,Ccl3,Ccl4,Ccl5,Cxcr4"
"Ccr3" "mmu04062" "Ccl27a,Arrb2"
